Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
"GEOMETRYCOLLECTION (POLYGON ((35.299618 31.766856, 35.299554 31.766573, 35.299532 31.766418, 35.299564 31.766135, 35.299736 31.765688, 35.299897 31.765378, 35.301109 31.763878, 35.301168 31.76339, 35.301656 31.763417, 35.30244 31.763485, 35.302692 31.763522, 35.303094 31.763846, 35.302558 31.765424, 35.302118 31.766035, 35.301742 31.766509, 35.30142 31.766628, 35.301109 31.766783, 35.300626 31.766929, 35.300337 31.766974, 35.299961 31.766974, 35.299618 31.766856)))","2018-04-22, 2018-04-22","None, None","None, None",,EAMENA-0186591,,Probable,"Possible, Definite, Possible, Definite","Adjoining, Adjoining","6 to 10, Unknown",,"Mohammad Jaradat, Mohammad Jaradat",,"2000-01-01, 2000-01-01","2004-01-01, 2004-01-01",,,"None, None","2000-01-01, 2000-01-01","2004-01-01, 2004-01-01",,,,,Demolition/Destruction,,,"None, None",Positive/Built Feature,Irregular,,Destroyed,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","Definite, Definite",,,"Building and Development, Infrastructure/Transport","Unknown, 1, 1, 2 to 5, 6 to 10, 1","Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia)","Domestic, Religious","Collapse/Structural Damage, Loss/Removal of Archaeological Material, Collapse/Structural Damage",,"Possible, Definite, Possible, Definite","Definite, Definite",,,,,,,,,,,"Cistern, Threshing Floor, Mosque/Madrasa Complex, Enclosure, House/Dwelling, Tell","Definite, Definite","Rectangular/Square, Rectangular/Square","Palestine, State of",,"High, Medium, Definite, Definite, Definite, Definite","Multi-Component, Structure","None, None","Definite, Definite, Definite",,,Archaeological Site,,"e481a499-2389-48bf-b841-60af606a262a, CPF Palestine Training",High,,,,"None, None, None, None",,,Definite,"Construction, Road/Track",High,E35N31-34,"Roman Imperial (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Byzantine (Levant/Mesopotamia), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia)",Building and Development,,,,,,,"Khirbet Abu Suwwana, خربة أبو صوانة","Slopes, Summit",61-90%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None",,,,,,c72ced3f-a792-46a5-99ac-d9319db180c0
"GEOMETRYCOLLECTION (POLYGON ((35.199313 31.662615, 35.199275 31.662562, 35.199916 31.662604, 35.199601 31.663179, 35.199116 31.663126, 35.199275 31.662569, 35.199313 31.662615)))",2018-05-18,,,,EAMENA-0186595,,,Not Applicable,,,,Eman Titi,,,,,,,,,,,,,,,,,Negative/Cut/Dug Feature,Sub-rectangular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Domestic,,,,Medium,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"15d60cb3-435f-4806-9aba-7f1b99e61167, CPF Palestine Training",Low,,,,None,,,High,,Medium,E 35.1993 N316625,,,,,,,,,AL SHEK ABU- NJEEM,Plain/Plateau,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,2ac8217d-5fb7-4bf6-a1db-1581c3f34690
"GEOMETRYCOLLECTION (POLYGON ((35.072367 32.350196, 35.071518 32.350674, 35.07081 32.350805, 35.070089 32.350783, 35.06969 32.350718, 35.06929 32.350674, 35.068814 32.350729, 35.068299 32.35074, 35.06772 32.350544, 35.067308 32.350207, 35.066922 32.3495, 35.06678 32.348749, 35.066728 32.348336, 35.066922 32.347988, 35.06799 32.347324, 35.069522 32.346737, 35.072367 32.350196)))","2018-05-28, 2018-05-28",None,None,,EAMENA-0186594,,Probable,Definite,Unknown,Unknown,,"Moath Jbara, Moath Jbara",,2004-12-31,2018-05-29,,,None,2004-12-31,2018-05-29,,,,,Construction,,,None,Positive/Built Feature,Circular,,Destroyed,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Definite,,,Domestic Use,Unknown,"Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Domestic,"Loss/Removal of Archaeological Material, Relocation of Archaeological Features, Erosion/Deterioration",,Definite,Definite,,,,,,,,,,,Settlement/Habitation Site,Definite,Irregular,"Palestine, State of",,High,Rubble Spread/Architectural Fragments,"None, None","Definite, Definite, Definite",,,Archaeological Site,,"e4e65f8a-f911-436c-8a3a-cf0f186c04af, CPF Palestine Training",Definite,,,,None,,,Definite,Clearance (Bulldozing/Levelling),Definite,E35N32-13,Roman Imperial (Levant/Mesopotamia),Domestic Use,,,,,,,Kh-AL Khammara/ خربة الخمارة,Summit,61-90%,,,"Old ArchesID, Comments",Toponym,,None,None,,,,,,39048586-8b59-4049-823f-2443e2e2d33e
GEOMETRYCOLLECTION (POINT (34.35041 31.414924)),"2018-08-27, 2018-08-27","None, None","None, None",,EAMENA-0186593,,"Probable, Probable",Definite,Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, 2004-01-01","2018-01-01, 2018-01-01",,,"None, None","2004-01-01, 2004-01-01","2018-01-01, 2018-01-01",,,,,"Construction, Drilling",,,"None, None",Positive/Built Feature,Rectangular/Square,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, High",,,"Infrastructure/Transport, Domestic Use",1,"Government Authority/Staff, Government Authority/Staff",,Islamic (Levant/Arabia),Defensive/Fortification,"Compacting, Covered, Relocation of Archaeological Features, Collapse/Structural Damage",,Definite,High,,,,,,,,,,,Fort/Fortress/Castle,High,Rectangular/Square,"Palestine, State of",,Definite,Structure,"None, None","High, High, Medium, Medium",,,Archaeological Site,,"e4b03e83-78a9-490e-ab3d-f2a2fdae8098, CPF Palestine Training",High,,,,None,,,Definite,"Road/Track, Construction",High,E34N31-14,"Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia)","Domestic Use, Infrastructure/Transport",,,,,,,"Deir el-Balah, دير البلح",Plain/Plateau,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None",,,,,,74a88016-dd9d-4d8e-b031-921dd9700ba0
"GEOMETRYCOLLECTION (POLYGON ((34.454033 31.546743, 34.44945 31.542029, 34.45163 31.540185, 34.453432 31.53881, 34.454926 31.539966, 34.456505 31.541195, 34.455544 31.542146, 34.457672 31.544618, 34.454033 31.546743)))","2018-03-17, 2018-03-17","None, None","None, None",,EAMENA-0186596,,"Possible, Probable, Possible","Definite, Definite, Definite, Definite, Definite, Definite, Definite","Adjoining, Adjoining, Adjoining","2 to 5, 1, 11 to 20",,"Mohammad Jaradat, Mohammad Jaradat",,"1994-01-01, 2007-01-01","2018-03-17, 2018-03-17",,,"None, None","1994-01-01, 2007-01-01","2018-03-17, 2018-03-17",,,,,"Construction, Flooding, Occupation/Continued Use",,,"None, None",Positive/Built Feature,Rectangular/Square,,Poor,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","Definite, High",,,"Building and Development, Military/Armed Conflict",1,"Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Bronze Age (Southern Mesopotamia), Iron Age (Levant/Mesopotamia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Iron Age (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Trade/Commercial,"Loss/Removal of Archaeological Material, Compacting, Collapse/Structural Damage",,"Definite, Definite, Definite, Definite, Definite, Definite, Definite",Definite,,,,,,,,,,,Port/Harbour,"Definite, Definite, Definite","Straight, Rectangular/Square, Rectangular/Square","Palestine, State of",,Definite,"Wall, Tower, Structure","None, None","High, High, High",,,Archaeological Site,,"e4e840be-20f9-4d7d-86fe-9191e51f695e, CPF Palestine Training",High,,,,"None, None, None, None, None, None, None",,,Definite,"Construction, Occupation/Continued Use",Definite,E34N31-32,"Byzantine (Levant/Mesopotamia), Bronze Age, Old Babylonian (Southern Mesopotamia), Iron Age, Late (Northern Levant), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Roman Imperial (Levant/Mesopotamia), Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia), Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)","Building and Development, Maritime, Military/Armed Conflict",,,,,,,"Anthedon, Gaza Ancient port, Tida, al-Blakhiyah, البلاخية",Ocean/Sea Shore,31-60%,,,"Old ArchesID, Comments","Alternative Reference, Designation, Toponym, Toponym, Toponym",,None,"None, None",,,,,,feb88d6b-dd9f-465d-a8ce-c7d02099a7b1
"GEOMETRYCOLLECTION (POLYGON ((35.186465 31.84734, 35.186354 31.847446, 35.186214 31.84741, 35.186193 31.847322, 35.186207 31.847258, 35.186289 31.847225, 35.186386 31.847225, 35.18644 31.847248, 35.186465 31.84734)))","2018-10-24, 2018-10-24","2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17","None, None, None, None, None, None",,EAMENA-0186597,,"Planned, Planned, Probable, Planned, Probable, Probable, Planned, Probable",Definite,Dispersed,1,,"Aya Barakat, Aya Barakat",,"None, None, None, None, None, None","None, None, None, None, None, None",,,"None, None, None, None, None, None","None, None, None, None, None, None","None, None, None, None, None, None",,,,,"Excavation (Hand), Occupation/Continued Use, Land/Rock Slide, Grazing/Animal Movement, Vegetation/Crops/Trees, Maintenance/Management Activities, Pollution, Temperature/Humidity Change",,,"None, None, None, None, None, None","Negative/Cut/Dug Feature, Surface Feature",Semi-circular,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","Definite, Definite, High, Definite, Definite, Definite",,,"Natural, Agricultural/Pastoral, Utilities, Natural, Natural, Public/Institutional Use","1, 1, Unknown","Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),"Industrial/Productive, Agricultural/Pastoral, Domestic","Collapse/Structural Damage, Artefact Displacement, Erosion/Deterioration, Relocation of Archaeological Features, Erosion/Deterioration, Collapse/Structural Damage, Collapse/Structural Damage, Erosion/Deterioration, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Loss/Removal of Archaeological Material, Covered, Collapse/Structural Damage, Chemical Leaching, Erosion/Deterioration, Erosion/Deterioration, Chemical Leaching",,Definite,"Definite, Definite, Definite",,,,,,,,,,,"Production/Processing (Agricultural), Press/Press Element, Tell",Definite,Semi-circular,"Palestine, State of",,"High, High, High",Pit/Shaft/Tunnel,"None, None","Definite, Definite, Definite, Definite, Definite, Definite, High, High, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite",,,Archaeological Site,,"e4f4e028-37b8-43e7-b26a-5ffd17f95c86, CPF Palestine Training",Low,,,,None,,,Definite,"Explosion/Heavy Weaponry, Grazing/Animal Movement, Excavation (Hand), Vegetation/Crops/Trees, Temperature/Humidity Change, Pollution",Definite,E35N31-33,Roman Imperial (Levant/Mesopotamia),"Utilities, Public/Institutional Use, Natural, Agricultural/Pastoral, Natural, Archaeological, Public/Institutional Use, Natural",,,,,,,معصرة/الجيب,"Plain/Plateau, Slopes",31-60%,,,"Old ArchesID, Comments",,,None,"2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17",,,,,,c2a57766-6f47-4244-8d01-2b135c0f3022
"GEOMETRYCOLLECTION (POLYGON ((35.135747 31.424435, 35.133747 31.424376, 35.13367 31.42401, 35.133618 31.423365, 35.133266 31.423043, 35.133103 31.422655, 35.133232 31.422369, 35.133438 31.422157, 35.133927 31.4219, 35.134133 31.421842, 35.134734 31.421952, 35.135558 31.422201, 35.13603 31.42305, 35.135936 31.423907, 35.135747 31.424435)))","2018-05-16, 2018-05-16","2018-05-16, 2018-05-16","None, None",,EAMENA-0186598,,Planned,"Definite, Definite","Nucleated, Linear, Linear","Unknown, 1, 1",,"Ibraheem Hawmdeh, Ibraheem Hawmdeh",,"None, None","None, None",,,"None, None","None, None","None, None",,,,,Clearance (Bulldozing/Levelling),,,"None, None",Surface Feature,Irregular,,Very Bad,"Archaeological Assessment/Ground Survey, Condition Assessment (Image Interpretation)","High, High",,,"Building and Development, Archaeological","1, 1","Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)","Religious, Domestic, Defensive/Fortification, Public/Institutional",,,"Definite, Definite","High, High, High, High",,,,,,,,,,,"Fort/Fortress/Castle, Reservoir/Birka","High, High, High","Irregular, Sub-rectangular, Sub-rectangular","Palestine, State of",,"High, High","Multi-Component, Tower, Structure","None, None",,,,Archaeological Site,,"e50d4a0c-6657-4a96-be67-e78117d3c688, CPF Palestine Training",High,,,,"None, None",,,High,"Clearance (Bulldozing/Levelling), Clearance (Hand)",High,E35N31-13,"Byzantine (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia)",Building and Development,,,,,,,karmel,Summit,61-90%,,,"Old ArchesID, Comments",Toponym,,None,"2018-05-16, 2018-05-16",,,,,,d782d350-2a8f-4ce2-b9e1-f1df5055c444
"GEOMETRYCOLLECTION (POLYGON ((35.457858 31.753267, 35.4576 31.753114, 35.457982 31.752788, 35.458223 31.752979, 35.457926 31.753221, 35.457858 31.753267)))","2018-05-26, 2018-05-26","None, None","1994-01-01, None",,EAMENA-0186599,,Probable,Definite,"Adjoining, Discrete, Adjoining","1, 1, 1",,"Mohammad Jaradat, Mohammad Jaradat",,"None, 2004-01-01","None, 2018-01-01",,,"1994-01-01, None","None, 2004-01-01","None, 2018-01-01",,,,,Water Action,,,"None, None",Positive/Built Feature,Rectangular/Square,,Fair,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","Definite, High",,,"Archaeological, Natural","1, 1, 1, 1","Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),"Agricultural/Pastoral, Domestic","Artefact Displacement, Covered, Erosion/Deterioration",,Definite,"High, High",,,,,,,,,,,"Sub-surface Material, Hearth/Oven, House/Dwelling, Flooring/Mosaic/Paving","High, Definite, Definite","Sub-circular, Irregular, Sub-rectangular","Palestine, State of",,"High, Definite, High, High","Depression/Hollow, Cave, Paved/Laid Surface","None, None","High, High, Medium",,,Archaeological Site,,"e5675b84-df74-4a64-bf13-9a0a31569a89, CPF Palestine Training",High,,,,None,,,Definite,"Excavation (Hand), Water Action",High,E35N31-34,"Roman Imperial, Early (Levant/Mesopotamia)",Natural,,,,,,,"Cave and Passage B-6, Qumran, قمران",Watercourse Banks,11-30%,,,"Old ArchesID, Comments","Alternative Reference, Toponym, Toponym",,None,"None, None",,,,,,e1b71ff5-44d0-4174-a40d-07d72d916b50
"GEOMETRYCOLLECTION (POLYGON ((34.949021 31.509616, 34.948588 31.509246, 34.949112 31.508866, 34.949521 31.509117, 34.949676 31.509299, 34.949401 31.509479, 34.949021 31.509616)))",2018-05-26,,,,EAMENA-0186604,,,Not Applicable,,,,Sara Al Shammas,,,,,,,,,,,,,,,,,Positive/Built Feature,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,"Public/Institutional, Domestic",,,,"High, High",,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"e5fac703-d21e-4c71-ad11-70109749f34b, CPF Palestine Training",Negligible,,,,None,,,Negligible,,Low,E34N31-42,,,,,,,,,"Bayt Euu Old, بيت عوا القديمة",Plain/Plateau,,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,87df6c61-da1d-4aba-a0fe-2a3c9b772534
"GEOMETRYCOLLECTION (POLYGON ((35.21231 31.933857, 35.211733 31.933436, 35.211566 31.933085, 35.211376 31.932683, 35.212048 31.932635, 35.212091 31.932623, 35.213364 31.933339, 35.213351 31.933694, 35.21231 31.933857)))",2018-10-27,,,,EAMENA-0186603,,,Definite,,,,Aya Barakat,,,,,,,,,,,,,,,,,"Negative/Cut/Dug Feature, Surface Feature",Circular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Bronze Age (Levant),Agricultural/Pastoral,,,Definite,Definite,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"e5dfc674-f8e9-47e8-ad63-a33fd2b59da1, CPF Palestine Training",Low,,,,None,,,Definite,,Definite,E35N31-33,Middle Bronze Age (Levant),,,,,,,,جدران حجرية/البيرة,Slopes,,,,"Old ArchesID, Comments",,,None,,,,,,,0d48ffb1-3f91-419b-8bf7-525fb80aa383
GEOMETRYCOLLECTION (POINT (34.439406 31.530729)),"2018-08-30, 2018-08-30",None,None,,EAMENA-0186600,,"Possible, Probable, Possible","Probable, Probable","Adjoining, Adjoining","1, 1",,"Mohammad Jaradat, Mohammad Jaradat",,2004-01-01,2018-01-01,,,None,2004-01-01,2018-01-01,,,,,"Drilling, Construction, Flooding",,,None,Positive/Built Feature,Rectangular/Square,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",High,,,Domestic Use,"1, 1","Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Islamic (Levant/Arabia)",Funerary/Memorial,"Covered, Structural Alteration, Collapse/Structural Damage",,"Probable, Probable",High,,,,,,,,,,,"Temple/Sanctuary/Shrine, Tomb/Grave/Burial","High, High","Sub-rectangular, Rectangular/Square","Palestine, State of",,"High, High","Pit/Shaft/Tunnel, Structure","None, None","High, High, Medium",,,Archaeological Site,,"e5bbf48f-400a-4bd9-95df-fec158f62f88, CPF Palestine Training",High,,,,"None, None",,,Definite,Construction,High,E34N31-32,"Islamic, Late (Ottoman) (Levant/Arabia), Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)","Building and Development, Domestic Use, Natural",,,,,,,"esh-Sheikh Hasan, الشيخ حسن",Ocean/Sea Shore,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,None,,,,,,d66a47af-d883-4938-8cd5-a53d23be50a8
GEOMETRYCOLLECTION (POINT (35.054542 32.436494)),"2018-10-29, 2018-10-29",2004-12-31,None,,EAMENA-0186601,,Planned,"Possible, Possible, Possible, Possible","Clustered, Adjoining","2 to 5, 1",,"Mohamad Al Atari, Mohamad Al Atari",,None,None,,,None,None,None,,,,,Vegetation/Crops/Trees,,,None,Positive/Built Feature,Unknown,,Unknown,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",High,,,Agricultural/Pastoral,"1, 2 to 5","Government Authority/Staff, Government Authority/Staff",,"Iron Age (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Iron Age (Iran)",Domestic,Covered,,"Possible, Possible, Possible",Medium,,,,,,,,,,,"Production/Processing (Agricultural), House/Dwelling","Medium, Medium","Semi-circular, Semi-circular","Palestine, State of",,"Medium, Medium","Small Mound/Cairn, Depression/Hollow","None, None",High,,,Archaeological Site,,"e5c76876-d136-4ce8-a486-b4bd061f3519, CPF Palestine Training",Low,,,,"None, None, None, None",,,Low,Vegetation/Crops/Trees,Medium,E35N32-13,"Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia), Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)",Agricultural/Pastoral,,,,,,,"unknown, غير معلوم",Slopes,Unknown,,,"Old ArchesID, Comments",", ",,None,2004-12-31,,,,,,8590baef-4aeb-4c33-abe0-cc44fe46c8ab
"GEOMETRYCOLLECTION (POLYGON ((35.102958 32.27485, 35.103353 32.275111, 35.103301 32.276127, 35.102632 32.276897, 35.102014 32.277056, 35.100984 32.276839, 35.100572 32.276331, 35.100383 32.275808, 35.10052 32.274966, 35.101482 32.274357, 35.102426 32.274487, 35.102958 32.27485)))","2018-05-27, 2018-05-27","None, None, None, 1998-01-01","None, 2002-01-01, 2008-01-01, None",,EAMENA-0186602,,"Probable, Probable, Possible, Probable",Definite,,,,"Anas Hammad, Anas Hammad",,"2016-01-01, None, None, None","2018-05-27, None, None, None",,,"None, 2002-01-01, 2008-01-01, None","2016-01-01, None, None, None","2018-05-27, None, None, None",,,,,"Vegetation/Crops/Trees, Ploughing, Structural Robbing, Road/Track",,,"None, None, None, None","Negative/Cut/Dug Feature, Positive/Built Feature",Irregular,,"Fair, Very Bad","Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","High, High, High, High",,,"Looting/Illegal Activities, Infrastructure/Transport, Agricultural/Pastoral, Agricultural/Pastoral",,"Government Authority/Staff, Government Authority/Staff",,Unknown,Unknown,"Alteration of Terrain, Artefact Displacement, Structural Alteration, Loss/Removal of Archaeological Material, Alteration of Terrain, Earth Displacement, Artefact Displacement, Structural Alteration, Artefact Displacement, Alteration of Terrain, Structural Alteration, Alteration of Terrain, Structural Alteration, Loss/Removal of Archaeological Material",,,High,,,,,,,,,,,,,,"Palestine, State of",,,,"None, None","High, Medium, High, High, High, Definite, Medium, High, Medium, High, High, High, High, Medium",,,Archaeological Site,,"e5df2b11-09e6-4cec-afec-17666e1f8af5, CPF Palestine Training",Low,,,,None,,,Low,"Excavation (Hand), Road/Track, Stationary Vehicle, Vegetation/Crops/Trees",Low,E35N32-13,,"Agricultural/Pastoral, Agricultural/Pastoral, Looting/Illegal Activities, Infrastructure/Transport",,,,,,,"Kh Al Qoumqom, خربة القمقم",Summit,"1-10%, 11-30%, 31-60%, 61-90%",,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None, None, 1998-01-01",,,,,,36396b6f-cbd5-49c4-a0bc-217bce16e270
"GEOMETRYCOLLECTION (POLYGON ((35.09786 31.586439, 35.097702 31.586316, 35.097696 31.586296, 35.097714 31.586172, 35.097993 31.586285, 35.097907 31.586399, 35.09786 31.586439)))",2018-05-16,,,,EAMENA-0186606,,,Not Applicable,,,,Sara Al Shammas,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"15e09a3a-8d79-47d9-91e5-f4c0db7dccab, CPF Palestine Training",Negligible,,,,None,,,Negligible,,Negligible,E35N31-32,,,,,,,,,"Khirbet Burj Alsuwr, خربة برج السور",Plain/Plateau,,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,bd1ad826-8398-4927-9f0a-fa20309599d9
GEOMETRYCOLLECTION (POINT (35.337788 32.045771)),2018-06-28,,,,EAMENA-0186607,,,"Possible, Possible",,,,Nour Daraghmeh,,,,,,,,,,,,,,,,,Positive/Built Feature,Irregular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,"Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)","Agricultural/Pastoral, Domestic",,,"Possible, Possible","High, Medium",,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"e637a150-1a2f-455b-a8c5-0ab57bdd28ae, CPF Palestine Training",High,,,,"None, None",,,High,,High,E35N32-12,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Byzantine (Levant/Mesopotamia)",,,,,,,,الراس الطوال',Valley Bed,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,99524380-68e1-404b-a88d-bb191c91624f
GEOMETRYCOLLECTION (POINT (35.454305 31.768231)),"2018-05-29, 2018-05-29",None,None,,EAMENA-0186605,,"Possible, Probable",Not Applicable,Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,2004-01-01,2018-01-01,,,None,2004-01-01,2018-01-01,,,,,"Excavation (Hand), Water Action",,,None,Positive/Built Feature,Irregular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",High,,,Natural,1,"Government Authority/Staff, Government Authority/Staff",,Unknown,Domestic,"Erosion/Deterioration, Water Damage",,,High,,,,,,,,,,,House/Dwelling,Definite,Irregular,"Palestine, State of",,High,Cave,"None, None","Medium, Medium",,,Archaeological Site,,"e6281234-a560-4681-832c-2f19c229fa44, CPF Palestine Training",High,,,,None,,,Definite,Water Action,High,E35N31-34,,"Archaeological, Natural",,,,,,,"Qumran, X/17, قمران",Slopes,11-30%,,,"Old ArchesID, Comments","Alternative Reference, Toponym, Toponym",,None,None,,,,,,3b4d0478-5f05-4ede-8916-209019fa3229
"GEOMETRYCOLLECTION (POLYGON ((35.189914 32.275803, 35.189528 32.275748, 35.189544 32.275422, 35.189978 32.275354, 35.190107 32.275531, 35.190171 32.27564, 35.190107 32.275789, 35.189914 32.275803)))",2019-10-01,,,,EAMENA-0186611,,,Probable,,,,Moath Jbara,,,,,,,,,,,,,,,,,Positive/Built Feature,Irregular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Religious,,,Probable,High,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"e75606c5-bd60-4919-bfb7-13cab0463942, CPF Palestine Training",High,,,,None,,,High,,High,E35N32-13,Roman Imperial (Levant/Mesopotamia),,,,,,,,معبد كوري',Slopes,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,02990454-d767-4086-874f-36f40e8d1a64
