PRIMARY.NAME,ARCHES.ID,NAME.E41,NAME_TYPE.E55,GEOMETRIC_PLACE_EXPRESSION.SP5,LOCATION_CERTAINTY.I6,HERITAGE_CLASSIFICATION_TYPE.E55,SITE_OVERALL_SHAPE_TYPE.E55,MEASUREMENT_UNIT.E58,MEASUREMENT_NUMBER.E60,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,TOPOGRAPHY_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,INVESTIGATOR_NAME.E41,INVESTIGATOR_ROLE_TYPE.E55,ASSESSMENT_ACTIVITY_TYPE.E55,ASSESSMENT_ACTIVITY_DATE.E49,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,MODIFICATION_TYPE.E55,MODIFICATION_DATE.E49,MODIFICATION_DESCRIPTION.E62,CONSTRUCTION_TECHNIQUE_TYPE.E55,CONSTRUCTION_NOTE.E62,EFFECT_TYPE.S9,DAMAGE_TREND_TYPE.E55,OVERALL_DAMAGE_SEVERITY_TYPE.E55,RECOMMENDATION_TYPE.E55,INTERVENTION_ACTIVITY_TYPE.E55,PRIORITY_TYPE.E55,VULNERABILITY_TYPE.E55,THREAT_PROBABILITY_TYPE.E55,RISK_EXTENT_TYPE.E55,RISK_SEVERITY_TYPE.E55,RISK_LEVEL.I4,RISK_LEVEL_CERTAINTY.I6,MITIGATION_STRATEGY_TYPE.E55,MITIGATION_PRIORITY_TYPE.E55,OVERALL_CONDITION_TYPE.E55,OVERALL_PRIORITY_TYPE.E55,NEXT_ASSESSMENT_DATE_TYPE.E55,OVERALL_CONDITION_REMARKS_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,ARCHAEOLOGICAL_FROM_DATE.E61,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME.E41,MEASUREMENT_NUMBER.E60,MEASUREMENT_UNIT.E58,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,SITE_OVERALL_SHAPE_TYPE.E55,TOPOGRAPHY_TYPE.E55,COUNTRY_TYPE.E55,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,HERITAGE_CLASSIFICATION_TYPE.E55
EAMENA-F-0000044,ab531bf1-d5fe-41f0-b950-71c67c73d96a,Church,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.60388144190946, 30.703175281182965], [35.603704416114475, 30.70339437255818], [35.60442593033948, 30.703763367434007], [35.60461636717954, 30.703539664458958], [35.60388144190946, 30.703175281182965]]]}",High,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-04-10,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Very bad,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000045,a0010628-a8ff-4049-ac1d-bbe5329b313b,Temple ,Toponym,"{u'type': u'Point', u'coordinates': [35.726241821944456, 30.750386988570725]}",High,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-04-10,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000046,541d276b-667e-453b-8604-3da39a130dac,Feature 1 - tell es Sakan ,Toponym,"{u'type': u'Polygon', u'coordinates': [[[34.405165592510535, 31.475535241097944], [34.40471927319239, 31.475381516951387], [34.404573361283916, 31.47514727034671], [34.404848019225106, 31.474847140652415], [34.404650608379676, 31.474605573124578], [34.40481368681875, 31.474466488042097], [34.405088345414775, 31.474429886699653], [34.40544025110656, 31.47458361213006], [34.405680576641394, 31.474378645019584], [34.4061011471459, 31.474817860145507], [34.40583507214259, 31.47526439386195], [34.405165592510535, 31.475535241097944]]]}",Medium,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Azadeh ,EAMENA Project Staff,Archaeological Assessment (Image Interpretation),2019-11-18,Not Applicable; Not Applicable,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 6 Months to a Year ,,,,,,,,,,,,,,,,,,,,Not Applicable; Not Applicable,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000047,3d381694-b9ec-4d6b-bb61-2a4abf50ca59,Inscription,Designation,"{u'type': u'Point', u'coordinates': [35.579412384822184, 30.781691706046132]}",Medium,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-05-10,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Poor,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000048,61291949-50b6-4bf6-b34b-a3209cd538d3,Farredeya,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.75797781492786, 30.90235487631726], [35.75752183939533, 30.902428522778877], [35.75737700010853, 30.901908393430716], [35.757913441911505, 30.90182554070722], [35.75806364561634, 30.90234106759938], [35.75797781492786, 30.90235487631726]]]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-05-11,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Destroyed,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000049,ebf881f8-eaeb-41f3-8d2d-4a19b00e8291,Mile stone ,Toponym,"{u'type': u'Point', u'coordinates': [35.76193943797027, 30.864253651419887]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-05-11,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Very bad,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000050,ede272a3-af11-4d69-b894-1284fd4c42d8,Mile stone,Toponym,"{u'type': u'Point', u'coordinates': [35.76227739597878, 30.853328284901764]}",High,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-05-11,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Very bad,Immediate Actions,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000051,769c34f4-e160-4adc-acbe-32660259d5e3,Tomb Cave,Toponym,"{u'type': u'Point', u'coordinates': [35.5894857806358, 30.832766290984196]}",Definite,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-06-11,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Poor,Immediate Actions,,,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000052,42317570-8479-4ce4-b765-eed2dcb6335c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAMENA-F-0000053,fd642ac4-1274-4e76-bd4d-a7c90fa5d551,Church,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.629129437945174, 30.74189596848143], [35.6284320636013, 30.742274037197745], [35.627616672060775, 30.741241260609655], [35.62831404640464, 30.740752531552104], [35.629129437945174, 30.74189596848143]]]}",High,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-06-11,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Very bad,Immediate Actions,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Group of Features; Group of Features
EAMENA-F-0000054,333166c6-39f5-4177-b38c-1a48267d69d5,,,"{u'type': u'Polygon', u'coordinates': [[[35.18190631913114, 32.22722344163405], [35.18258223580289, 32.228094728685974], [35.18139133500028, 32.228621127232245], [35.18077979134488, 32.2277044657267], [35.18190631913114, 32.22722344163405]]]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,AYOUB,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-18T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,Collapse/Structural Damage,Unknown,Moderate Damage,Repointing,"Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years),Lack of Access to the Site,Probable,11-30%,1 - Slight,Low,2 - Possible,Renewal of Protective Coating,Urgent (Within 6 months to 1 year ),Unknown,Unknown,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000055,e5b4797b-920f-48a3-a6ce-4e72c6785a39,Al-Aqsa Mosque,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.235825174714655, 31.776719780661125], [35.23522865136426, 31.776599387954334], [35.235597723259225, 31.775771227596323], [35.2362800772981, 31.775811358828918], [35.23588954773101, 31.77673802197087], [35.235825174714655, 31.776719780661125]]]}",,Individual Feature; Individual Feature,Rectangular/Square,,,,,,Summit,Islamic (Levant/Arabia),"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)",Definite,Mosque/Imam/Marabout,Definite,Religious,Definite,,,Mohammad Jaradat,Government Authority/Staff,Risk Assessment (Image Interpretation),2019-11-18T00:00:00,Occupied / In Use; Occupied / In Use,UNESCO World Heritage List; UNESCO World Heritage List,1981-01-01T00:00:00; 1981-01-01T00:00:00,2019-11-19T00:00:00; 2019-11-19T00:00:00,Decorative Element(s) Restored; Partially Reconstructed,1980-01-01T00:00:00; 1980-01-01T00:00:00; 1982-01-01T00:00:00,Ceiling and Walls,Beam-supported,No; No,Compacting; Compacting,Disturbance Increasing; Disturbance Increasing,Slight Damage ,Archaeological Monitoring,Emergency Actions,High (Within 1 to 2 years),,,,,,,Archaeological Monitoring,High (Within 1 to 2 years),Fair,Within 1 to 2 Years  ,,Priority Assignment Remarks,Islamic (Levant/Arabia),"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)",Definite,2019-11-18T00:00:00,Religious,Definite,Mosque/Imam/Marabout,Definite,Mohammad Jaradat,,,,,,Rectangular/Square,Summit,"Palestine, State of",Occupied / In Use; Occupied / In Use,UNESCO World Heritage List; UNESCO World Heritage List,1981-01-01T00:00:00; 1981-01-01T00:00:00,2019-11-19T00:00:00; 2019-11-19T00:00:00,,,Individual Feature; Individual Feature
EAMENA-F-0000056,963ba066-c880-42ca-99a3-7cd44df384db,Monastery ,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.5737805396868, 30.79982914438206], [35.57356596296561, 30.799822232639556], [35.57355791633856, 30.799997329962324], [35.5737805396868, 30.80000654560206], [35.5737805396868, 30.79982914438206]]]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-07-10,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 6 Months to a Year ,,,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000057,c30a3165-fbfb-4e32-a9a5-9265fbeba36d,Watch tour (MANTAR),Toponym,"{u'type': u'Point', u'coordinates': [35.213895685762566, 31.710018305559686]}",Low,Individual Feature; Individual Feature,,,,,,,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman Imperial (Levant/Mesopotamia),Possible,Amphitheatre,Low,Hunting/Fishing,Low,,,Eman titi,Government Authority/Staff,Desk-based Assessment,2019-11-18T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,Access Restriction,Stable,Moderate Damage,Archaeological Monitoring,"Conservation, Restoration, and Maintenance Activities",Medium (Within 2 to 5 years),Construction Material,Possible,11-30%,2 - Moderate,Medium,2 - Possible,Maintenance Policy and Programs,Medium (Within 2 to 5 years),Good,Beyond 5 Years ,,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Roman Imperial (Levant/Mesopotamia),Possible,2019-11-18T00:00:00,Hunting/Fishing,Low,Amphitheatre,Low,Eman Titi,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000058,ef4f0d4b-5ef6-4fa7-bc99-106ba6d4b387,castel,Toponym,"{u'type': u'Point', u'coordinates': [35.31765890876331, 32.08186039095267]}",High,Individual Feature; Individual Feature,Polygonal,,,,, E35N32-12,Slopes,,,,,,,,,,nour daraghmeh,Student/Trainee,Data Cleaning/Enhancing,2019-11-18T00:00:00,Not Applicable; Not Applicable,,,,,,,,,Compacting,Disturbance Increasing,Moderate Damage,Archaeological Monitoring,Preventative and Mitigation Activities,High (Within 1 to 2 years),Other,Probable,11-30%,2 - Moderate,High,3 - Likely,Surface Cleaning,High (Within 1 to 2 years),Fair,Within 1 to 2 Years  ,Every Year,,,,,,,,,,,,,,, E35N32-12,Polygonal,Slopes,"Palestine, State of",Not Applicable; Not Applicable,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000059,ab733697-9cfd-4e84-bb11-9cf25235e23f,بركة,Toponym,"{u'type': u'Point', u'coordinates': [35.02888726032127, 32.2683867011105]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,,,,Access Restriction,Stable,Slight Damage ,Removal of Vegetation,Emergency Actions,Urgent (Within 6 months to 1 year),Lack of Maintenance,Possible,31-60%,3 - Major,High,2 - Possible,Intervene with Governmental Authorities,High (Within 1 to 2 years),Fair,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000060,30bc6ed5-d3a1-44ff-bddb-820987bad6c7,,,"{u'type': u'Point', u'coordinates': [35.26674492177468, 32.050339317424076]}",Negligible,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mais sartawi,Government Authority/Staff,Desk-based Assessment,2019-11-18T00:00:00,Unknown; Unknown,,,,,,,,,Surface Loss,Stable,Moderate Damage,Aerial Photograph Interpretation,Preventative and Mitigation Activities,Medium (Within 2 to 5 years),,,,,,,Restoration,Low (Beyond 5 years),Fair,Beyond 5 Years ,Every 3-5 Years,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000061,34b9eee2-b595-40b8-9a98-e97cb1834957,بيت قديم,Toponym,"{u'type': u'Point', u'coordinates': [35.050427381666516, 31.97258058655693]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,aya barakat,Government Authority/Staff,Condition Assessment,2019-11-18T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,Collapse/Structural Damage,Disturbance Increasing,Severe Damage ,Repointing,"Conservation, Restoration, and Maintenance Activities",Urgent (Within 6 months to 1 year),Lack of Evacuation Plan,Planned,31-60%,2 - Moderate,Medium,3 - Likely,Repointing,Urgent (Within 6 months to 1 year ),Poor,Unknown,Every 6 Months,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000062,902a2596-6eea-4b17-84dc-7a58ac590113,البدة القديمة كفر الديك,Toponym,"{u'type': u'Point', u'coordinates': [35.08124397669105, 32.06669953078277]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,مرام ابو زريق,Government Authority/Staff,Condition Assessment,2019-11-18T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,Moderate Damage,Archaeological Monitoring,"Conservation, Restoration, and Maintenance Activities",Medium (Within 2 to 5 years),,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000063,ae0bd16f-10e6-451b-bec6-64204aa97b92,Masjed,Designation,"{u'type': u'Point', u'coordinates': [35.3726280001325, 32.35426863957086]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Sufyan,Government Authority/Staff,Desk-based Assessment,2019-11-18T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,Restoration,High (Within 1 to 2 years),Good,Immediate Actions,,Risk and Damage Notes and Comments ,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000064,a0c2345d-6322-448e-a0dd-f6e49ad29129,khrbet rabod,Alternative Reference,"{u'type': u'Point', u'coordinates': [35.018275660088236, 31.431242121328765]}",High,Individual Feature; Individual Feature,,,,,,,,Neolithic (Levant/Mesopotamia),"Neolithic, Early/Aceramic/Pre-Pottery (Levant/Mesopotamia)",Probable,Altar,High,Agricultural/Pastoral,High,,,Ibrahim Hawamdeh,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-18T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,Construction Material,Possible,31-60%,2 - Moderate,Very High,2 - Possible,Archaeological/Heritage Activity,Emergency (Immediate Action),Good,Immediate Actions,,,Neolithic (Levant/Mesopotamia),"Neolithic, Early/Aceramic/Pre-Pottery (Levant/Mesopotamia)",Probable,2019-11-18T00:00:00,Agricultural/Pastoral,High,Altar,High,Ibrahim Hwalden,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000065,b74513cb-034b-4d70-901d-2049fa88bca9,,,"{u'type': u'Point', u'coordinates': [35.26651693400841, 32.05026656883233]}",Negligible,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mais sartawi,Government Authority/Staff,Desk-based Assessment,2019-11-18T00:00:00,Unknown; Unknown,,,,,,,,,Lack of Cohesion; Structural Alteration,Stable; Stable,Moderate Damage,Remedial Conservation (Other),"Conservation, Restoration, and Maintenance Activities",Low (Beyond 5 years),,,,,,,Remedial Conservation (Other),Medium (Within 2 to 5 years),Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000066,ab36cd38-2b71-4b39-9c19-11c450808117,خربة ارتاح,Toponym,"{u'type': u'Point', u'coordinates': [35.018257423649445, 32.293619316376294]}",High,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Mohammad.Tuhimer,Government Authority/Staff,Field-based Assessment,2019-08-06,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Poor,Immediate Actions,,Priority Assignment Remarks,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000067,192c3107-47b8-4609-a674-e7edd60691f3,,,"{u'type': u'Point', u'coordinates': [35.32558933087568, 32.049390017750255]}",Negligible,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mais sartawi ,Government Authority/Staff,Desk-based Assessment,2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Very bad,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000068,7c3adc21-c5df-40ad-b4dd-de513b58efaa,House,Designation,"{u'type': u'Point', u'coordinates': [35.372740652911126, 32.353810944717836]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Sufyan,Government Authority/Staff,Desk-based Assessment,2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Within 6 Months to a Year ,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000069,ddad16d9-3371-45fd-96ff-68367935afb6,,,"{u'type': u'Point', u'coordinates': [35.91591732580986, 32.03576458045835]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,يسام,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-18T00:00:00,Unknown; Unknown,,,,,,,,,,,,,,,,Probable,1-10%,1 - Slight,Low,2 - Possible,Repointing,Low (Beyond 5 years),Good,Beyond 5 Years ,Every 3-5 Years,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000070,c1db0b94-bb72-433f-ad3f-5397f9607f48,Building,Designation,"{u'type': u'Point', u'coordinates': [35.37368479048438, 32.35416667804668]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Sufyan,Government Authority/Staff,Desk-based Assessment,2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Immediate Actions,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000071,d070c110-b30f-4720-a6ab-9b8e863ad1c3,,,"{u'type': u'Point', u'coordinates': [35.32306268998366, 32.04586160783968]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Mais Sartawi ,Government Authority/Staff,Desk-based Assessment,2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Very bad,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000072,ab86941a-53cc-4a11-8ea6-4e4b0fc49515,مسجد,Toponym,"{u'type': u'Point', u'coordinates': [35.092807160570125, 31.972200274507003]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,aya barakat,Government Authority/Staff,Condition Assessment,2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000073,5715b0c4-ab1b-4bef-a3a7-6bf3cf67ed76,معصرة رومانية ,Toponym,"{u'type': u'Point', u'coordinates': [35.3512251019811, 32.15717471634676]}",Medium,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,ayoub hussen,Government Authority/Staff,Condition Assessment,2019-11-18,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000074,e4a22683-050f-4c17-9ebf-565a20d0dabb,برج الحمام ,Toponym,"{u'type': u'Point', u'coordinates': [35.15927275145518, 31.44484977272269]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ibrahim hawamdeh,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-18,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 2 to 5 Years  ,,,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000075,5b96646f-5d06-4dbf-a7cb-c4b23ff2fef9,Church,Toponym,"{u'type': u'Point', u'coordinates': [35.64159403706925, 30.85991326718853]}",Definite,Group of Features; Group of Features,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-07-10,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Poor,Within 6 Months to a Year ,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000076,cf224231-8674-4022-8819-b101dc560973,مقام/ مسجد,Designation,"{u'type': u'Point', u'coordinates': [35.01407503200813, 32.29509116103428]}",Definite,Individual Feature; Individual Feature,Circular; Sub-rectangular,,,,,E35N32-13,Slopes,Islamic (Levant/Arabia),"Roman Imperial, Early (Levant/Mesopotamia)",Definite,Mosque/Imam/Marabout,High,Religious,Definite,,,Mohammad.Tuhimer,Government Authority/Staff,Field-based Assessment,2019-08-14T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,Restored/Repaired,2019-11-19T00:00:00,,Stucco,ترميم جدران وسقف; ترميم جدران وسقف,Alteration of Terrain,Disturbance Decreasing,Slight Damage ,Renewal of Protective Coating; Structural Strengthening/Reinforcement,"Conservation, Restoration, and Maintenance Activities; Preventative and Mitigation Activities",High (Within 1 to 2 years); High (Within 1 to 2 years),Lack of Regular Monitoring,Probable,11-30%,2 - Moderate,Medium,3 - Likely,Conservation Activity,High (Within 1 to 2 years),Good,Within 1 to 2 Years  ,Every 6 Months,Overall Condition Additional Remarks,Islamic (Levant/Arabia),"Roman Imperial, Early (Levant/Mesopotamia)",Definite,,Religious,Definite,Mosque/Imam/Marabout,High,Mohammad Tuhimer,,,,,E35N32-13,Circular; Sub-rectangular,Slopes,"Palestine, State of",Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000077,348ce3a3-c0b6-4e69-b9ff-1c37120d4cfc,قلعة,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.0825661695512, 32.274689516097865], [35.08257475248908, 32.2747512001758], [35.082373050502135, 32.274794741820045], [35.08245888119061, 32.274914481649276], [35.08226147067259, 32.27502333580166], [35.082158473780936, 32.2748564261033], [35.08205118542034, 32.27491085323064], [35.0819782294661, 32.2747258007814], [35.08230438601683, 32.274660488119096], [35.08230009454789, 32.274540747816246], [35.08252325420696, 32.27451171978991], [35.0825661695512, 32.274689516097865]]]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Moath Jbara,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000078,5dc8145f-e1bd-4727-b82a-c1d6466d4579,بيت قديم,Toponym,"{u'type': u'Point', u'coordinates': [35.11506097024566, 31.97788694968507]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,aya barakat,Government Authority/Staff,Condition Assessment,2019-11-18,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Very bad,Unknown,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
